,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36
2,2022-02-02 23:10:19,2022-02-02 23:18:37,IP Address,100,498,True,2022-02-02 23:18:37,R_29ojxYtsNp0Hw0R,anonymous,EN,0.800000011920928955078125,A,A,A,A,B,A,Cheeks,Chin,Eyebrows,Left face half,Complete face,Neck,A,A,A,A,A,B,Eye area,Face shape,Forehead,Lightning,Lightning,Eyes,B,A,B,A,B,B,Color clarity ,Browning,Browninf,Depth/shadowing,Shadowing,Light intensity 
3,2022-02-02 23:14:06,2022-02-02 23:23:03,IP Address,100,536,True,2022-02-02 23:23:03,R_1F9ZlTHZz5pllgJ,anonymous,EN,0.89999997615814208984375,A,A,B,B,B,A,Face change,Beard,Eyes change,Shadows in the face change,Resolution decrease,Thinner neck,A,A,B,A,B,B,Face enhanced ,Looks more realistic,3d like effect,Blurred,Exposure change,Eyes change,B,B,A,A,B,A,Details enhanced,Color change,Details enhanced,Shadows aggravated,"Shadows aggregated, looks more 3d",Dark spots aggravated
4,2022-02-02 23:17:11,2022-02-02 23:24:52,IP Address,100,461,True,2022-02-02 23:24:52,R_d6Jkk5PYqa3zr2N,anonymous,EN,1,A,A,A,A,B,A,eyebrows,facial hair,eyes,shading,face,head shape,A,A,A,B,A,B,texture,texture,texture,texture,texture,eyes,B,A,B,A,B,A,lighting,color,color,shading,shading,color
5,2022-02-02 23:17:44,2022-02-02 23:27:30,IP Address,100,585,True,2022-02-02 23:27:30,R_3OqvrqZcpdM1BFW,anonymous,EN,1,A,A,A,B,B,A,Expression,Mouth shape,Brow position,Expeession,Face in general,Chin,A,A,B,B,B,B,Face shape,Face color,Background,Cheeks,Shade,Eyes,B,A,B,A,B,B,Shade,Color,Saturation,Color,Shade,Saturation
6,2022-02-02 23:18:50,2022-02-02 23:31:04,IP Address,100,733,True,2022-02-02 23:31:04,R_1QaThjgPGa9G3Gk,anonymous,EN,1,A,A,A,B,B,B,Eyebrows,Mustache hair,Eyes,Shading,Nose,Chin,A,B,B,A,A,B,Head shape,Mouth,Head shape,Shading on the skin,Shading on the skin,Eye narrowness,B,A,B,B,B,A,Light,Brownness in leaves,Light,Shading,Shading,Light
7,2022-02-02 23:10:55,2022-02-02 23:31:12,IP Address,100,1216,True,2022-02-02 23:31:13,R_1DRXyNoZ3klMO2c,anonymous,EN,1,A,A,A,A,A,B,Eyebrows,Mouth,Eyes,Shadows on the face,Age,Jaw shape,A,B,A,B,B,B,Jaw/Cheeks,Face shape,Face shape,Face shape,Colors become more saturated,Eyes,B,A,B,A,B,A,Dark parts of the leaf become darker,Color changes,Color becomes more saturated,Dark parts of the leaf become darker,The shadows enlarge,Edges become blurrier
8,2022-02-02 23:23:42,2022-02-02 23:32:31,IP Address,100,528,True,2022-02-02 23:32:31,R_2WunylrnVfuFfY7,anonymous,EN,1,A,A,B,B,B,B,Eyes,Mouth,Eyes,Lighting,Cheeks,Chin,A,A,A,B,A,B,Fuller cheekbones ,Corners of mouth turn down,Lighting,Lighting,Background,Eyes,B,A,B,A,B,B,Shading,Yellowness,Lighting ,Shading,Shading,Shading
9,2022-02-02 23:18:44,2022-02-02 23:35:14,IP Address,100,990,True,2022-02-02 23:35:14,R_qVBlDAEeQZRWmpH,anonymous,EN,1,B,A,A,A,B,B,eyebrows,mouth,eyes,skin(tone),nose,outline of face,A,A,A,A,A,B,hair,face shape,face shape,face tone,face tone,eyes,B,B,A,A,B,A,colour,colour/decay,colour,shade,shade,saturation
10,2022-02-02 23:23:19,2022-02-02 23:35:40,IP Address,100,740,True,2022-02-02 23:35:40,R_2rorBsn3Vumze31,anonymous,EN,1,B,A,B,A,A,B,eyebrows,mouth,eyes,wrinkles ,face,background,A,B,B,B,A,A,face shape,face shadow,larger eyes,background,light/dark,eyes ,B,A,B,B,B,A,shadow white,yellow removed,qhite removed,shadow,leaf shadow,lighter
11,2022-02-02 23:28:52,2022-02-02 23:37:13,IP Address,100,501,True,2022-02-02 23:37:13,R_wRXFhQ0JB6J8KK5,anonymous,EN,0.800000011920928955078125,A,B,B,A,B,B,eyebrows,jaw and smile,eye expression ,nose shadows,facial shape ,neck/face width,A,B,A,B,B,B,facial size,jaw length,head seems shorter,face shadows,shadows and exposure,eyes,B,A,B,A,B,B,shadow details,color,exposure,shadows,shadows,exposure and shadows
12,2022-02-02 23:30:48,2022-02-02 23:37:23,IP Address,100,395,True,2022-02-02 23:37:23,R_2VxwFF73Zs8pJSN,anonymous,EN,1,A,A,A,A,A,B,.,.,.,.,.,.,A,A,A,A,A,B,.,.,.,.,.,.,B,A,B,A,B,B,shadow in the middle of the leaves,change in color,it's different in all ,shadow changes,leave rises/falls,ambient light changes 
13,2022-02-02 23:27:43,2022-02-02 23:37:32,IP Address,100,589,True,2022-02-02 23:37:32,R_SUhye7d3ctRB9lL,anonymous,EN,1,A,B,A,B,B,B,Nothing,Nothing,Eyebrows shift,Shadows,Nothing,Nothing,A,A,A,B,A,B,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,B,A,B,A,B,A,Idk,Yellowing,Idk,Idk,Shadows,Shadows
14,2022-02-02 23:30:39,2022-02-02 23:41:41,IP Address,100,662,True,2022-02-02 23:41:41,R_3hGDSjyct5YdTFL,anonymous,EN,0.89999997615814208984375,A,B,A,B,B,B,change eyebrows,stronger smile,close eyes,add wrinkles,change facial structure,sharper chin,A,A,A,A,A,B,sharper jaws,thinner faces,changing shapes,smoother heads,change of shadows,moving eyes,B,B,B,A,B,A,lower highlights,less hue,more highlights,more shadows,less shadows,less saturation
15,2022-02-02 23:27:58,2022-02-02 23:41:58,IP Address,100,839,True,2022-02-02 23:41:58,R_UT5tdxddic4pO6Z,anonymous,EN,,A,A,A,B,B,B,Eyebrows,Smile,Larger eyes,Lighting,Chin,Smile,A,A,B,A,A,B,Facial structure,Face width,Lips,Lighting,Contrast,Eyes,B,B,B,B,B,B,Texture,Level of green,Lighting,Shadow,Drop Shadow,Lighting from above
16,2022-02-02 23:32:43,2022-02-02 23:42:06,IP Address,100,563,True,2022-02-02 23:42:06,R_2dsEQi3fABK8HqT,anonymous,EN,1,A,A,B,A,B,A,facial expression (eyebrows),facial hair,eyes and eyebrows,shading ,maturity/depth,I don't know,A,A,A,B,A,B,contouring,face shape,contrast,shading,saturation,eyes,B,B,B,A,B,A,clarity,color,saturation,shadows,shadows,darker edges
17,2022-02-02 23:28:57,2022-02-02 23:42:34,IP Address,100,817,True,2022-02-02 23:42:35,R_xnmmdWsD05mIayJ,anonymous,EN,0.800000011920928955078125,B,A,A,B,A,A,eyebrows,mouth,eyes,nose,nose,chin,A,A,A,A,B,A,big chins,dikte van hoofd,eyes,cheeks,hair color,eyes,B,B,B,A,B,B,the contrast,warmth of colors,contrast,shadows,shadows,contrast
18,2022-02-02 23:37:23,2022-02-02 23:45:02,IP Address,100,458,True,2022-02-02 23:45:02,R_3kuKSUzUNgniDM8,anonymous,EN,1,A,A,B,A,B,A,Eyes and eyebrows,Laugh,Eyes,Skin color,Nose and eyes,Chin,A,A,A,B,A,B,The forehead,Bottom part of face,Hair,Hair,Background,Eyes,B,A,B,A,B,B,Lighting,Amount of mould,Lighting again,Nerves,Positioning and shadow,Edges of leaf
19,2022-02-02 23:24:26,2022-02-02 23:46:24,IP Address,100,1318,True,2022-02-02 23:46:24,R_STrWCIcMmSOVkJz,anonymous,EN,1,A,B,A,A,B,A,Shadow,Facial hair,Eye size,Shadow,Smoothness,Shape,A,A,A,A,A,B,Eroding,Dialating,Smoothening,Shadow enhancing,Lightning,Eroding,B,A,B,A,B,B,Colour,Colour,Colour,Top lighting,Down lighting,Shadow enhancing
20,2022-02-02 23:41:56,2022-02-02 23:48:36,IP Address,100,400,True,2022-02-02 23:48:36,R_PHWfCXSjHup299v,anonymous,EN,1,A,B,B,A,B,B,Eyebrows,Mouth,Eyes,Nose,Cheeks,Chin,A,B,A,B,A,B,No idea,Orientation,Shape,Lighting,Lighting,Animation doesn't work for me,B,A,B,A,B,A,Lighting,Colour,Shadows,Lighting,Shadow,Lighting
21,2022-02-02 23:40:59,2022-02-02 23:50:46,IP Address,100,587,True,2022-02-02 23:50:46,R_r0ZdguVbxBCQFc5,anonymous,EN,0.800000011920928955078125,A,B,A,B,B,A,Eye chin,Lower part face,Eyes,Center face,Face structure (wrinkles etc),Sides of face,A,A,A,B,A,B,Shadow,All is lifted,Background,Bottom sides face,Shadow,Eyes,B,A,B,A,B,B,Color,Color,Light,Shadow,Shadow,Shadow
